Trial,Tensor Size,Core Size,Ndims,dTTM Time,TTM Time
0,200,1,4,0.0652935,0.260499
1,200,3,4,0.082851,0.338792
2,200,5,4,0.100539,0.405562
3,200,7,4,0.119262,0.535605
4,200,9,4,0.144326,0.625703
5,200,11,4,0.172827,0.774551
6,200,13,4,0.189577,0.89834
7,200,15,4,0.218168,1.01965
8,200,17,4,0.253958,1.14227
9,200,19,4,0.296884,1.27933
10,200,21,4,0.34334,1.43715
11,200,23,4,0.40356,1.56869
12,200,25,4,0.471636,1.69846
13,200,27,4,0.561545,1.82846
14,200,29,4,0.651712,1.96559
15,200,31,4,0.753015,2.11745
16,200,33,4,0.857345,2.24852
17,200,35,4,0.970986,2.39708
18,200,37,4,1.09856,2.51157
19,200,39,4,1.26891,2.65305
20,200,41,4,1.41359,1.61612
21,200,43,4,1.58051,1.7247
22,200,45,4,1.76634,1.80222
23,200,47,4,1.95975,1.89148
24,200,49,4,2.18647,2.01102

